,n_id,x,y,geometry,elevation,n_demand,dw_demand,lat,lon,cluster
64,R19,1175251.4589471926,-1307982.3698311716,POINT (1175251.4589471926 -1307982.3698311716),83.78467559814453,0,0.0,32.437641,-87.4975,0
65,R322,1175282.9328391228,-1308292.282323784,POINT (1175282.9328391228 -1308292.282323784),83.02372741699219,3,71.16088969044073,-87.49761048001561,32.43554865268475,0
66,R323,1175237.7152703095,-1308203.0907155112,POINT (1175237.7152703095 -1308203.0907155112),83.67647552490234,2,29.52088173849683,-87.49796510650978,32.43640468268358,0
67,R209,1175548.2013410954,-1308824.9340970682,POINT (1175548.2013410954 -1308824.9340970682),82.8550796508789,0,0.0,32.434692,-87.497258,0
68,R253,1175301.581251101,-1307972.1163556948,POINT (1175301.581251101 -1307972.1163556948),84.04032897949219,1,17.835395478001097,32.438383,-87.4969778,0
69,R250,1175251.4589471926,-1307982.3698311716,POINT (1175251.4589471926 -1307982.3698311716),83.78467559814453,0,0.0,32.4383575,-87.4975196,-1
70,R20,1173165.0315408055,-1307032.6583657812,POINT (1173165.0315408055 -1307032.6583657812),79.4226303100586,0,0.0,32.451015,-87.520475,0
71,R21,1172625.7969343567,-1307140.236531628,POINT (1172625.7969343567 -1307140.236531628),77.85712432861328,0,0.0,32.450939,-87.520985,0
72,R145,1172997.1712235026,-1306780.1838241844,POINT (1172997.1712235026 -1306780.1838241844),80.11568450927734,4,58.609770009834655,32.45107,-87.519564,2
73,R62,1172458.2972103977,-1306631.3700778356,POINT (1172458.2972103977 -1306631.3700778356),75.49811553955078,0,0.0,32.452145,-87.522053,0
74,R324,1173073.1948495016,-1306993.7474969993,POINT (1173073.1948495016 -1306993.7474969993),78.2239990234375,4,60.0345613133091,-87.51911390773866,32.450053899434735,0
75,R44,1173242.3997010281,-1307037.9996317858,POINT (1173242.3997010281 -1307037.9996317858),81.96463012695312,1,28.683724114884516,32.4495856,-87.5181996,0
76,R325,1172625.7169645329,-1306846.0373648268,POINT (1172625.7169645329 -1306846.0373648268),75.83657836914062,14,181.0488513222806,-87.5236260237503,32.451961566941236,0
77,R326,1172724.6050029462,-1306831.504874996,POINT (1172724.6050029462 -1306831.504874996),78.16045379638672,6,63.12071917996106,-87.52256469261431,32.45196127353375,0
78,R235,1172886.297274263,-1306922.1650075722,POINT (1172886.297274263 -1306922.1650075722),76.50904846191406,0,0.0,32.4519824,-87.5246869,-1
79,R327,1172666.088688207,-1306949.4628021054,POINT (1172666.088688207 -1306949.4628021054),78.45436096191406,4,58.45453244438158,-87.52334150564707,32.45098489349374,0
80,R328,1172765.093828632,-1306935.4279201939,POINT (1172765.093828632 -1306935.4279201939),80.39080047607422,4,71.18655035076146,-87.52227963052118,32.450980000057214,0
81,R55,1172886.297274263,-1306922.1650075722,POINT (1172886.297274263 -1306922.1650075722),76.50904846191406,0,0.0,32.4509731,-87.524403,-1
82,R329,1172702.7346143334,-1307076.5308713382,POINT (1172702.7346143334 -1307076.5308713382),75.22346496582031,0,0.0,-87.52312839758852,32.44980199346144,-1
83,R330,1172781.221815829,-1307014.5659391403,POINT (1172781.221815829 -1307014.5659391403),76.62623596191406,0,0.0,-87.52221743199357,32.45025209548195,-1
84,R22,1173691.6365602722,-1306098.6826643304,POINT (1173691.6365602722 -1306098.6826643304),90.5312728881836,3,130.90669243266447,32.458053,-87.510571,0
85,R242,1173755.4763043637,-1305997.3954239173,POINT (1173755.4763043637 -1305997.3954239173),90.74433898925781,2,73.86837268071862,32.4582976,-87.5086079,0
86,R220,1173755.4763043637,-1305997.3954239173,POINT (1173755.4763043637 -1305997.3954239173),90.74433898925781,0,0.0,32.458897,-87.50996,-1
87,R215,1173731.1571664622,-1305898.9715610363,POINT (1173731.1571664622 -1305898.9715610363),89.49195098876953,1,25.913553360646016,32.4572326,-87.5113814,0
88,R23,1173569.9343814054,-1306423.760286606,POINT (1173569.9343814054 -1306423.760286606),90.0978012084961,7,148.7682700715481,32.4566063,-87.5127948,0
89,R110,1173713.9870622025,-1306401.2133285163,POINT (1173713.9870622025 -1306401.2133285163),89.42543029785156,7,161.21679566200112,32.4565869,-87.5114967,0
90,R157,1173568.8603272566,-1306186.9208897357,POINT (1173568.8603272566 -1306186.9208897357),91.59907531738281,5,110.86295232752896,32.457223,-87.512366,0
91,R331,1173577.9910595429,-1306324.0853652998,POINT (1173577.9910595429 -1306324.0853652998),90.6733169555664,4,82.76815397758908,-87.51288541087834,32.455369454465455,0
92,R132,1173588.876358075,-1306604.0660138745,POINT (1173588.876358075 -1306604.0660138745),90.33839416503906,9,207.4945516966386,32.45449,-87.513106,0
93,R24,1175548.2013410954,-1308824.9340970682,POINT (1175548.2013410954 -1308824.9340970682),82.8550796508789,0,0.0,32.421686,-87.494807,-1
94,R332,1175594.054828676,-1308913.8017384047,POINT (1175594.054828676 -1308913.8017384047),82.28131103515625,0,0.0,-87.49518127384142,32.429588713281376,-1
