buildings,V1,V2,V3
B1,-87.523001,32.423696500000005,2.262498423932156
B2,-87.5183388742949,32.4238530845241,19.314407560343408
B3,-87.51883201120438,32.42442487486958,9.148345465974328
B4,-87.51819929089062,32.42446278767641,29.98221740424625
B5,-87.5147815,32.422641,4.142189834515956
B6,-87.51516653877647,32.42322194480887,11.52234044059043
B7,-87.51417877820691,32.423500326392976,10.482669770361136
B8,-87.51607929472458,32.42381861357962,6.439926800943784
B9,-87.51450750000001,32.42393749999999,6.073486018399423
B10,-87.51483349999998,32.423962,5.23901520979366
B11,-87.51437316015125,32.42407542002071,7.42080857136653
B12,-87.51465250487429,32.42415373268343,6.269115582261946
B13,-87.5160734834261,32.42426883068049,15.839710198295547
B14,-87.51530225277111,32.42441238258485,7.036123917292133
B15,-87.5158952409895,32.42475138110121,8.058786912950715
B16,-87.51665302814212,32.42486713620071,9.740637276315521
B17,-87.51497589815317,32.42488982596104,17.278227228194766
B18,-87.51632956833673,32.42516786267927,13.246383598353589
B19,-87.516561,32.425292,6.1354404618431175
B20,-87.51535095391705,32.42538925652841,11.049921386790484
B21,-87.51523973169978,32.42561046382535,6.923739255528524
B22,-87.51647226908572,32.425639471452726,4.119550623742183
B23,-87.51669206015107,32.42566688340549,11.630018133313518
B24,-87.51896932303427,32.42474102974377,6.496177342385664
B25,-87.51859725668369,32.42490103776938,4.818887548571558
B26,-87.5198812238928,32.424958973700335,11.351898557008923
B27,-87.51823799999998,32.42507500000001,8.847874740212934
B28,-87.5168842931495,32.4251012791131,5.750003706434697
B29,-87.52004600000001,32.4251235,4.80484757376893
B30,-87.5181905,32.4252255,3.030907502675868
B31,-87.5178375692143,32.42523401412328,10.503415188672198
B32,-87.51714224509524,32.425279280285714,7.498782556165319
B33,-87.5199855,32.42528099999999,6.943417366540037
B34,-87.520006,32.4255875,3.222365359153665
B35,-87.51898925772977,32.425652971198645,8.424523743813282
B36,-87.5178267872371,32.425667034168406,7.459489064436113
B37,-87.51983693846128,32.425692203337235,5.257709622579459
B38,-87.51721886739455,32.426227972703785,12.852524521809919
B39,-87.51801921111944,32.42648021574559,8.583901355694968
B40,-87.51869287727156,32.4264922521742,5.498531589294274
B41,-87.5183113741219,32.426507675717644,12.06738285468466
B42,-87.51765456215679,32.42656725476716,10.320750377572342
B43,-87.517318,32.4265995,7.4088101280610115
B44,-87.49386888878038,32.421137454873275,14.119679316718049
B45,-87.49403685190273,32.42136275699465,4.524623834432586
B46,-87.49415724715678,32.421513133848705,7.272458130909038
B47,-87.49507714950911,32.4217677432445,1.9264705482940556
B48,-87.49394030193355,32.42179197734446,7.707768275229098
B49,-87.49484419215139,32.42198578043533,13.943022450161276
B50,-87.4929432107823,32.423426400552856,5.967410675472349
B51,-87.50066769643085,32.42688966911481,3.4871407588558707
B52,-87.50092000000002,32.427209000000005,7.16173451631977
B53,-87.50052397369313,32.42722323073659,4.236035649201282
B54,-87.50053165581359,32.42754093874392,5.630659501841254
B55,-87.50056006889473,32.42811442407598,8.099089178483348
B56,-87.50028820932698,32.428763181088655,9.497462957992505
B57,-87.50041900000001,32.4288365,2.4173808882807912
B58,-87.50017213067645,32.42970409411276,7.131245843175293
B59,-87.49758750000001,32.4303535,11.244936108806721
B60,-87.49990354602373,32.4304472105838,9.216766737874462
B61,-87.5161925,32.425717999999996,14.487295088372846
B62,-87.51523510807965,32.42596646193661,10.943647056458742
B63,-87.5143382322346,32.426004082692984,6.384984251628657
B64,-87.51619741780567,32.426032091368455,8.624690473683607
B65,-87.51620918296257,32.42624684903122,5.97341416587563
B66,-87.51664821600346,32.42659683500486,9.935723729444945
B67,-87.516383,32.426949,13.853415244682765
B68,-87.51609149181739,32.42721619959283,3.4217042945044582
B69,-87.51647600000003,32.427403999999996,2.3059587084772577
B70,-87.51623693518366,32.42771036085975,17.616370237569832
B71,-87.51827399999999,32.4266045,2.6132065227340853
B72,-87.51798885488411,32.42668570998483,4.12024915874647
B73,-87.5172138724167,32.426893873573185,7.719142966049503
B74,-87.5178745,32.427106,7.466587654125895
B75,-87.51671271841359,32.42858207912741,23.935071946702124
B76,-87.517386,32.428825499999995,12.097029995710004
B77,-87.51716074486201,32.430172147191236,10.945996668182886
B78,-87.5167495,32.430891,1.4266013334523429
B79,-87.51778550000002,32.4313225,11.623318844299963
B80,-87.51840600000001,32.432064999999994,5.419933722347441
B81,-87.5166856452163,32.42897954549383,7.851069360083994
B82,-87.51552025180435,32.429562627285044,8.10691864405306
B83,-87.5162100621998,32.42978679286744,15.617950015174372
B84,-87.51551598822097,32.4303245257296,10.860298564261749
B85,-87.5141605,32.430493000000006,4.75081840621747
B86,-87.51464600000001,32.430863,5.430285116032018
B87,-87.51510524592747,32.43088651690396,4.875778506813544
B88,-87.51616442867612,32.4309128897986,7.068232499718839
B89,-87.51650559714474,32.43093016465719,5.9544914665584905
B90,-87.5127495,32.431053000000006,8.57982601651782
B91,-87.51461192431518,32.43107082189589,6.644527387754053
B92,-87.51088162910288,32.43106774626394,5.946753104535257
B93,-87.51060743247157,32.43107723988133,7.602344894664858
B94,-87.51627874755245,32.43113055042878,8.674545003821166
B95,-87.5156115,32.43116549999999,4.165997333033566
B96,-87.51412472887944,32.43125001350354,6.301242797634387
B97,-87.516318,32.4312665,2.290031156378279
B98,-87.51274170441617,32.431313109356054,9.511621748321968
B99,-87.51475216291593,32.43134454479723,5.2777370915115025
B100,-87.51085839909132,32.431411740639774,9.65224120012528
B101,-87.50773724375539,32.43103602067184,4.369511700314521
B102,-87.51023725748341,32.43106404876067,6.609206632293102
B103,-87.50922775166367,32.43107072945194,5.14110668798596
B104,-87.5098878666557,32.43110077447111,13.070317565521492
B105,-87.50815621287785,32.431146113295334,6.932130610943995
B106,-87.50784505700825,32.43142694838045,6.0869737696992186
B107,-87.50923170364943,32.431440094550275,3.8502603545285012
B108,-87.50962222941227,32.43144115140401,11.938377451513974
B109,-87.50983557320014,32.43155575841084,3.898748377029939
B110,-87.50999561223658,32.43171974631844,3.3011668454388645
B111,-87.5113184322761,32.431446253740276,5.831355268367217
B112,-87.5105205653528,32.43145624715381,5.920225694836419
B113,-87.51450445510959,32.43148290006966,9.87925910805673
B114,-87.5133295,32.4315035,13.800161910326977
B115,-87.51541571479534,32.4315117578647,6.886254256840985
B116,-87.51084856886676,32.43165075510606,6.358162387048951
B117,-87.51051525196225,32.431663598807745,6.306378771103925
B118,-87.51407339696526,32.43169709316957,7.72858280449104
B119,-87.51143424062998,32.431736913476875,1.795254399854635
B120,-87.51133674552331,32.43176190436534,5.866480838270671
B121,-87.51087600000001,32.431853,7.01293793779476
B122,-87.51050924701157,32.431860893475275,5.750814245290822
