Solution Value: 1.84815e+06 
DIAMETER[R283,R284,0.2] 1 
DIAMETER[R283,R284,0.25] 0 
DIAMETER[R283,R284,0.3] 0 
DIAMETER[R283,R284,0.35] 0 
DIAMETER[R283,R284,0.4] 0 
DIAMETER[R283,R284,0.45] 0 
DIAMETER[R383,R384,0.2] 1 
DIAMETER[R383,R384,0.25] 0 
DIAMETER[R383,R384,0.3] 0 
DIAMETER[R383,R384,0.35] 0 
DIAMETER[R383,R384,0.4] 0 
DIAMETER[R383,R384,0.45] 0 
DIAMETER[R76,R383,0.2] 1 
DIAMETER[R76,R383,0.25] 0 
DIAMETER[R76,R383,0.3] 0 
DIAMETER[R76,R383,0.35] 0 
DIAMETER[R76,R383,0.4] 0 
DIAMETER[R76,R383,0.45] 0 
DIAMETER[R57,R366,0.2] 1 
DIAMETER[R57,R366,0.25] 0 
DIAMETER[R57,R366,0.3] 0 
DIAMETER[R57,R366,0.35] 0 
DIAMETER[R57,R366,0.4] 0 
DIAMETER[R57,R366,0.45] 0 
DIAMETER[R313,R9,0.2] 1 
DIAMETER[R313,R9,0.25] 0 
DIAMETER[R313,R9,0.3] 0 
DIAMETER[R313,R9,0.35] 0 
DIAMETER[R313,R9,0.4] 0 
DIAMETER[R313,R9,0.45] 0 
DIAMETER[R9,R8,0.2] 1 
DIAMETER[R9,R8,0.25] 0 
DIAMETER[R9,R8,0.3] 0 
DIAMETER[R9,R8,0.35] 0 
DIAMETER[R9,R8,0.4] 0 
DIAMETER[R9,R8,0.45] 0 
DIAMETER[R8,R41,0.2] 1 
DIAMETER[R8,R41,0.25] 0 
DIAMETER[R8,R41,0.3] 0 
DIAMETER[R8,R41,0.35] 0 
DIAMETER[R8,R41,0.4] 0 
DIAMETER[R8,R41,0.45] 0 
DIAMETER[R7,R8,0.2] 1 
DIAMETER[R7,R8,0.25] 0 
DIAMETER[R7,R8,0.3] 0 
DIAMETER[R7,R8,0.35] 0 
DIAMETER[R7,R8,0.4] 0 
DIAMETER[R7,R8,0.45] 0 
DIAMETER[R366,R366f,0.2] 1 
DIAMETER[R366,R366f,0.25] 0 
DIAMETER[R366,R366f,0.3] 0 
DIAMETER[R366,R366f,0.35] 0 
DIAMETER[R366,R366f,0.4] 0 
DIAMETER[R366,R366f,0.45] 0 
In Node Elevation[R10] 76.294 
In Node Elevation[R384] 72.8887 
In Node Elevation[R52] 76.0248 
In Node Elevation[R285] 76.4494 
In Node Elevation[R41] 76.346 
In Node Elevation[R284] 76.6349 
In Node Elevation[R65] 81.4997 
In Node Elevation[R261] 71.8887 
In Node Elevation[R283] 76.9747 
In Node Elevation[R383] 73.8887 
In Node Elevation[R76] 74.8887 
In Node Elevation[R146] 71.3709 
In Node Elevation[R57] 74.7476 
In Node Elevation[R100] 74.9562 
In Node Elevation[R81] 69.3709 
In Node Elevation[R313] 78.6188 
In Node Elevation[R51] 75.5246 
In Node Elevation[R366] 67.5168 
In Node Elevation[R8] 76.8676 
In Node Elevation[R9] 77.6188 
In Node Elevation[R58] 68.5488 
In Node Elevation[R66] 79.3408 
In Node Elevation[R366f] 64.0168 
In Node Elevation[R363] 74.346 
In Node Elevation[R201] 71.5537 
In Node Elevation[R370] 78.3408 
In Node Elevation[R280] 77.3408 
In Node Elevation[R367] 67.5488 
In Node Elevation[R387] 70.3709 
In Node Elevation[R42] 73.346 
In Node Elevation[R7] 85.6227 
In Node Elevation[R362] 75.346 
Out Node Elevation[R10] 76.294 
Out Node Elevation[R384] 82.0452 
Out Node Elevation[R52] 76.0248 
Out Node Elevation[R285] 77.3722 
Out Node Elevation[R41] 84.1594 
Out Node Elevation[R284] 76.678 
Out Node Elevation[R65] 81.4997 
Out Node Elevation[R261] 76.678 
Out Node Elevation[R283] 78.2183 
Out Node Elevation[R383] 78.476 
Out Node Elevation[R76] 74.8887 
Out Node Elevation[R146] 74.6739 
Out Node Elevation[R57] 74.7476 
Out Node Elevation[R100] 74.9562 
Out Node Elevation[R81] 74.6739 
Out Node Elevation[R313] 78.6188 
Out Node Elevation[R51] 75.7329 
Out Node Elevation[R366] 74.1701 
